polygon3133_1_	Adjuntas
polygon3135_1_	Aguada
polygon3137_1_	Aguadilla
polygon3139_1_	Aguas Buenas
polygon3141_1_	Aibonito
polygon3143_1_	Arecibo
polygon3145_1_	Arroyo
polygon3147_1_	Añasco
polygon3149_1_	Barceloneta
polygon3151_1_	Barranquitas
polygon3153_1_	Bayamón
polygon3155_1_	Cabo Rojo
polygon3157_1_	Caguas
polygon3159_1_	Camuy
polygon3161_1_	Canóvanas
polygon3163_1_	Carolina
polygon3165_1_	Cataño
polygon3167_1_	Cayey
polygon3169_1_	Ceiba
polygon3173_1_	Ceiba
polygon3175_1_	Ceiba
polygon3177_1_	Ciales
polygon3179_1_	Cidra
polygon3181_1_	Coamo
polygon3183_1_	Comerío
polygon3185_1_	Corozal
polygon3187_1_	Culebra
polygon3191_1_	Culebra
polygon3193_1_	Culebra
polygon3197_1_	Culebra
polygon3199_1_	Dorado
polygon3201_1_	Fajardo
polygon3203_1_	Fajardo
polygon3205_1_	Fajardo
polygon3207_1_	Fajardo
polygon3209_1_	Fajardo
polygon3211_1_	Florida
polygon3213_1_	Guayama
polygon3215_1_	Guayanilla
polygon3217_1_	Guaynabo
polygon3219_1_	Gurabo
polygon3221_1_	Guánica
polygon3223_1_	Hatillo
polygon3225_1_	Hormigueros
polygon3227_1_	Humacao
polygon3229_1_	Humacao
polygon3231_1_	Isabela
polygon3233_1_	Jayuya
polygon3235_1_	Juana Díaz
polygon3237_1_	Juncos
polygon3239_1_	Lajas
polygon3241_1_	Lares
polygon3243_1_	Las Marías
polygon3245_1_	Las Piedras
polygon3247_1_	Loíza
polygon3249_1_	Luquillo
polygon3251_1_	Manatí
polygon3253_1_	Maricao
polygon3255_1_	Maunabo
polygon3259_1_	Mayagüez
polygon3265_1_	Moca
polygon3267_1_	Morovis
polygon3269_1_	Naguabo
polygon3271_1_	Naranjito
polygon3273_1_	Orocovis
polygon3275_1_	Patillas
polygon3277_1_	Peñuelas
polygon3279_1_	Ponce
polygon3283_1_	Quebradillas
polygon3285_1_	Rincón
polygon3287_1_	Río Grande
polygon3289_1_	Sabana Grande
polygon3291_1_	Salinas
polygon3293_1_	San Germán
polygon3295_1_	San Juan
polygon3297_1_	San Lorenzo
polygon3299_1_	San Sebastián
polygon3301_1_	Santa Isabel
polygon3303_1_	Toa Alta
polygon3305_1_	Toa Baja
polygon3307_1_	Trujillo Alto
polygon3309_1_	Utuado
polygon3311_1_	Vega Alta
polygon3313_1_	Vega Baja
polygon3315_1_	Vieques
polygon3317_1_	Vieques
polygon3319_1_	Vieques
polygon3321_1_	Villalba
polygon3323_1_	Yabucoa
polygon3325_1_	Yauco
_x36_048_2_	Mayagüez
_x36_117_2_	Mayagüez
_x36_125_2_	Mayagüez
_x36_136_2_	Ponce
